query_id,answer
BHqkB8hyVBLYjeJk,fa8f3e2db701c980 9bbba29b77e9b1af e1b4eba97b8c5240 04a433604469adc8 203bd20bd909376d ea4b62cd245b9a77 8834dddb19f784d8 f6cafc65bc477089 e23e327b22211b7a a56fd64b3ff5130f 6ca646f31be2f88a ad86467ee810f2d2 6eb4a74791507649 a416c0f4f736d0ec 762acab8e7599a8f 6e28821e5a681b5a a588f6a8c3cf7bb9 295f73ab7eb6cfd1 3858c11ffaf2f474 f4310a574a8537ff d65259183543728f b4635213a8962cca 219b726aaeaf24a6 c560fce1e1ff9623 cff075ddb5ecea8b f7ed30d20f573f74 611804dbb9c68a4c 86ed21b72a45fe76 edb71c4a334651b4 77591840de7e9360 1d1b88ecca20d5dc ef50c253de4b7247 baea4f783c8f0a9e 955dada2f9842dcb f7bd6c612e4dbe56 8011065b14a4c338 589c0d7a4e77f03a e4f51e0805d52bdc e7ca5f3fe4c7223d 94c3f54985724e22 4524365f48ebcf8d ba2b5290247dde5b 9e21b8e5a71a0ea0 9d0d9e73fb885f2d 064b0cfbf9d27702 02041ecc093b5437 706a7da9befff978 bbdcb85e9def7e9e b4017e6e7d3fded8 1612cacde1600997
dkPW1ez4OuJlKP6f,bd5db5a85cb5d137 3273767a2bb49d6b bbf504a6b1a049c6 6584cfa935839cf4 8e8af64394503d23 ce7523dfe05215a7 ab5b5ba8f1cb89be 289fdf9932be6318 08c03e3b1f19b3aa b39e5854ab83559d 2031c678ebb45ba0 a234a719880fd744 7afa7486462f252c 6e1ab22750c1ce1c a1463abe11b6bb65 138839b73f55f5ed c6a2cca92ccebbed 0379f593b36a1dd8 a8d8a9fd35ab86f4 4ded79793f35192e 01346d7ab677a006 dcb69941ee189cfa 0239f8a55c21711f 16895be7ba379e48 54e2af6d91225d71 806d23a4615e5841 4bbb6cf166d6242d 530b319de7efdbec 2dbb67933540e667 83b57f6e2fbe6cf0 c59d6a728daa8d08 da5876777de67e72 a998b2daeafd171b 18e40dcee35f8a19 cf00805727f3c1df ae03c142e97cbf03 d6991d90ab33d1d4 d16c6aad87b0dd06 20949310aa7d18b2 24dcada9402c5760 f261f3f6f3d8f20e a49871d79f4b98ab 1ac8a5b77e6a8c42 a8fa48f1640cb031 6b360325b7a2c60a d7eed8775adc0ba0 d358644b7d4cc307 e1d193c5f64dfba7 79e0a78b97d03019 829de623e3057ff4
QcN46alMOqpAE50I,d3580e4f758a08a1 f9075c5549063c63 fae41dd969a99050 8d9c6c04212bf64b 9e999755929baf38 f032343ce917a26f a85baed12dcffac7 eba2cc8c8ecef336 0d1acb8159c9bae8 610bdd79153340d1 1e33b48ebfd2fc24 7b8e2acd7edb4ddc 12a2f6af38d3966b 647754b1f68e08d5 b9144f0619e1ae69 a6fa0c2925fd4270 e3ac4995f4cd476a 840845c4fe9ba442 54f9fd5755051f69 b308d47410a46636 cf8b881b52188f2b 10339996143c51c6 9591c3a5933d9004 eda2c60a89e63b56 ddd76295790c84cb c9160edbbb3ca1f9 f5c0b6e975629ea7 c207062ef3be9dba d73aed04c5336798 d02230fe7148d272 d1ad16ff4131e6c1 ee6a87be5b2b27dc 55964971af6b449d a7f35089b33b1d4a 14ebba70f442932c 522883edf050c18f 002710614262dbcb 89d5e4a102328b0a 4a8fe1c2426e9eab 1f8ea6168f1bddb3 d3b3f80e584bfe0c fdfd5f15003a8422 4ad43a66447d4ef0 d72fa9ba9554dded cfd1607c20a6042d 26388583fe42b87f 8a1fa17860c15448 dc63051927b33263 58fa2b026c09f47b 69ffcfc7c14913f7
Q4BzK1C2QbMpWats,671ec869f80e7688 20e2792b14789745 841b9ab0f8027e7a d7dee04803e8d990 811ef25ecf305ae1 5c42e75509da8ef4 9be59b6411cf11cc 7cc855258cf6ed7e 0471c8f2cd3fe2f3 c913a66658074d96 453636b090c3d49d c606ee82ee3aea6d 167627f1ca07c2f6 a0c0ef62c80c3510 7d85212d723de304 97dc61e01a914a8e 67c7c49bfaab55f5 67c769c0188cee26 ce6223ec03da1d47 08c8ec546c71428a efb884a729e258b4 93b8d7b11253295e d264956dc7321e3b 4acd13afc12253bd 935a7a8c18a23101 56533898833f7c7f c302a84c719de657 4acb33166aefd7db 610c25106f3d0521 c5b355d18f2397b6 09d68fe87040bd5d fdafca8b9e0bbca3 110a360b8eedec78 1679ce51048fd777 4d77637bf85a10bc 4521030395d5682f 95c5bd6846ba1667 7371e8390457dd94 84652032a2040d61 3c75bd9410e8c413 97c93a97b9d1a0d2 ff2e69fbdcc41915 5ae65ce6f9ffa11c 4259621e37e70776 c0d26133a251808b a539f70c96175a41 59576423fe00e3b2 24ed66de0bf5dc6f f3848ddae8c0c37f 46cef3bbff01cc98
94UtW5eRuV3rcDEO,524274c2d227d660 4729f8de96814711 ab18ad965eb4d116 72400063523b73ef bf121ca8e63ea494 3c20d09240795139 cdd9f749958d3f82 89ce608eb7222ea7 6a6e82769b7332e7 0bc88004234a9cb7 534bcf271df0cce8 035a00c2e4b35638 6fabf64c0905fc3a 61dcb2a462e54b70 454cd854cf16f9d7 dc7c5a6e928b1e1c 304706946e182505 1fe50f3cb59c1b4a ad5139fd78a41fe1 c7867980b064e6c6 6a043732072918dc b432dd20d7370b83 e8c8455d23f681b5 84a424b4414ed0e1 a8b0ce6a110be36a 972922d2d14eebbd e85afacad7565e13 404f16957146f0aa fda5a34acd90443d eaf91f082c8287ba fac9a2cc3808bfb4 2300831f5b250961 9ad27666632bb457 a37fadd892aa743e feca198dbaa27976 1ae7a2e5e7aa70e1 53ebb96f5068d1e2 79eaae6e1e72fccd 82c1ba9f9ed11be7 f33c24d5e658975b 8a612254a3f7566f 59fd9dcd2c87e75d 105d8eabbf7e5bbf d1487b0858cd658a c915bea9a36131d4 ddbf2d66d142f179 6dc42f2c292f8ccd 92a210ba34484014 86c8668b26a45eff 05a69c3f166318c2
6dYxIAlZOriT6SHH,8d8024054828e9be 9ee2b11a31a70cf5 a4fb1fc05743e013 2aed19e73962d863 90b3f8b06894c1b6 65c405ebfb147129 b5e26b462b1aef93 2ba499cdac8f4646 974542c247cafa42 d2b9491fc7a439cc a50929967895f818 0af686fb84b9b92f 3dca7ae07ecdb386 8218df0a3a3748b8 9e220e973eb16cea c90b018b9116a632 3edf9ee666855377 b2cc1ae244c6b85f 040538f9a0254a99 a84eafaa56ff5697 919784e4592095bc 8a25c667dcca8b38 b0b86882f0584d34 e0b2c025293f7146 359e3f1130608876 9e8a6b864be9675e df309aa37025781b 59f72c4c1b7e2520 6c46c26941126e5a d5d94bc759d2cac3 c6cfbb8eb6507dbf 05ff7ecb5cee974b 7d8e34eea84c520e 4d9938f06d3a87aa 4161bac8966103e7 4943443372a06334 fca5134c4bceed37 eb52c15edbbd4cdb af0cdc45e354acef fafa783677a85852 76073f690e41e829 ed320480c91fd25c 1d05850b431cfaf9 fe06aadb5d8f28d3 988a0a561ff9f0a9 56509a2df587b94c cd36d80245026dca d02ea9bb6c500e30 dfab39eefde5bd68 fbc6388c5ea3aaec
moFmX6XQY5SEz9hU,9879311b1681e073 df54b3f7497d69ed 2ac8f3a653a3eaf5 e2613b0dab30d6f3 1e71d883c20c90c2 beaa3cdf9e479a53 f82a20b60a8188cf 430bef5508127742 bf66c5bde034e509 1c7fb1eb5fa9f23f 20277fdaf89ff58f f5de2ec16f211a23 1e24a2caf7db8d2f cfcecefd6ef84b55 445eec11e8ccda32 8cb482057f19610a d0e4967dfe1101db ca4f1545aae9664c e239892c841076a4 ff8c83488b07936e 63229d195b66275b e15ec8d2e5920abd 27c19e6e5d416391 835e72268639dd09 6d9043d370b9256b 05d2cd5f312fb219 77327629d8036f35 8c799d14e83743da 496250c292cccfa5 d8b1981ed6e55190 5f0af11c55c93f37 1ef1095c660edeb9 8072b39070400687 84653afed4262adb 90cf903e3812ad28 65585282428f964e 36eff9b9a7e29644 4fa74f2055f0b34a c65e1b569a7c5d39 1f6304600d5c0a9a fad497a777c29d73 5a9903a345570cae 2293623cfc5fa80d e149c3013c8274da aa2fe68ebc7f17ce beaef36ca593f7e7 bc92dd4b6375b990 4cfc593063028506 c38eaca8f33609a0 f338dc60ed5fa61b
R66chaldEN0epFjt,0fc323ba42b4e297 4d8de295c89f1532 ed7535b081298136 99504a447db7c9e4 c24ce13d01895854 d7c119f222db17c3 5645052abdec64ee 2bd33044d79aa561 7affd05a2c12258b 706aef11c086f2cc d85ac15a3fb338cd c6f6d13ccf5e1527 c7c36cce492b4cc1 2e3ea7cf3cac3fef 58c60077ba4e94e9 b65b43e4addfb8a1 bdfce93504afe108 45c28fd6260b744b 69fcee637df221af de698aaed82b026f 54e9954ab5c40b1b bb33e6c78f0ce27f 006b9e0de279c1bc 03f146fca0626a82 2712af160c36ee0f 6f6c36575d8e3a5e bd3c20af6671ec49 4ed60a213448e787 5cf8a7a33e21233d 2c284338283cd0b2 100a93105d2db32b 449c05b19a9b84f5 fad350ff33deeca7 1c383865e2b1f142 e175a70897c87e83 305b77574dd8a3b4 6da8b9794b4ebd42 4068ab9db47a18c9 d0b324933fe0b56d db3255a7af2edfbb 7fe3401678eee538 66544c66336afe36 f1409b4b3c5967ff b06b0b1fe753f9e2 9c285b782b509118 f0db060ad52f86fe 104d09659111e686 eb8f87788654db99 88e35d658722470e 3ad7a5df015fb544
LeWIzjoTRN8saOxg,0aa4988f7527044f 0b7c0b04d3858dae 5ca4d12a7066a061 59ad84f75ee98b4c b495056ef40d11d9 0fbe3bf393bd7462 236cfc946d46f64b 8e7e64c30f92b48b 6a1402ef66bbdd4d ce412ba63a3567e1 6094c5b0a8227850 c288d0798a4b5a66 b02d4ff96e1d8eac 306a6fcc24b3c9bf c0dfe8e3e9c7d31d 0904dcce0360d5b6 f838a0b7f0e285ad 6129b43b7272730a 6557cc5d11d0fbf7 74012473ecb6f929 e5bd0eef9b7217a3 db380030381b69ae 74d109ec13995ce9 3086070c012c8e23 a4c4f780d720ea71 dc5e6c841fe80b8f bd2296ed4cea9659 b351b2435b10dde2 ca8a71860b6dc037 132b0768a0afd84c 97ac0228fcbf4a4e 9ec1e2f55fd9e653 adcdff6300cac5e8 ff62e9f24bca34c4 d400282b720cc795 21d795ce5d12a1a7 3c47580490bd2bed c9ec99ffcef43ebb 3817da59d8a460f0 0fdacb5f72a4b0e3 7f5f3acf27a0b9d4 ce8aab5622babae1 40c39f40ad41d4b1 4c4a9f35845839ad 6edf6b69fecf5fb6 35fe26d7ff039862 7748508e7fc88e6e a97a60e0b0c7371c c06a4a823f8dcd23 7f97fd7c949af768
YeC06bC3Bws9SfaN,eafb0d921301d2fb 15d6c65ea742a8ff 075f0e435e410bb6 c693679ec1d0ffb5 0d14050b90c7539f 9f0991316bd710b5 2077e588b04a1f3e 73ec7717c33a0bc8 27d6424908ffbd80 731d59964ef422c9 33e603bb72cd311c 44c3a0c85aafb858 51aa95d598a3e4ad 30e7e1e25f454abd fe8e329cb658167d c0da89b71d346050 cf76823d50532023 6331e804af6e98a8 87b998f28543e69d fbe6b7849d900243 8619ed6f1b398034 c518220aeab7ac77 0845b2260ca3ad7e a1a498e8749acd54 72c62cfa1f6bed83 a5b8d17d272f2c30 21e98f8522b72775 1fea6d0ee3b38f32 ac5af03ea560455f 2a13567f12be3269 afb8b4857b9e782e 5fd733e76ab806bf b18cb4021fc4ce1f 99751557fca8befd b2c5a9c47c9fc532 99dbc5561cadd823 614e11e6a2b86298 d420d0490e55b76a 1c75341a9cb53627 94ba04414db76c11 219ff055064c7105 a37a0732f12a870a 8628d2eb30952322 aeadd019ceb0877e dba40acba174ab7c 1dd0b8678e0ce29f 2642f6717a7333be 933a281ae107da09 a90c0bf90718d84c 7bd3f0b4e60916c1
Mkw7pexvDmMpFdzO,57ff6765aa00ff0b 6b616bde25aca76f 83725951858328f7 92dedd578ad31740 b4522af9085468c8 f2d0a35333fe0d2a bfd90d86d2d62902 bcef0e8ac0930e5d 97895d0e01430afd 54f4b4f894fec8c6 8ef378dd9209e56f ce1965850e038a5b db4bbbc20cecbb59 a0a387ce1ac24b84 3dd5f7dbeb3fa3f3 f88c981aaccd877e 2f6d35e4d0253d51 39f6da7bac4fafa6 633d94036fe7e947 0f08cd8764f48b51 b0a9568924548e4f d8db6820aa40431f a30c8f9cea93399a db9027b31a414b73 109ad5845a3a7fc5 2205f56b4899e827 35515e60620264a9 46ac6732711ccf6d 68325bb5388f1d23 9a0555706a5975dc 5c53ad9bbd1db61d 4fd8f2e7841bcfb3 8629dde1acad6092 7a6cf95496c2d1de db53f8fd05c9bd07 c82c808e333429cf 666ad83a68d895fd b4eb02f303e7830d 5ece694ddb588a11 13e62247a5cc3a30 917611ce52220932 65cbe52b7e481b3c 053eca39958c79b8 ee30f3e3b4799044 bcb63d19daf82798 1e68591cca811b27 e89dea0b21af5dc5 1a6951d1492fae8d 572c9198f0ad4982 1a487929f83b635d
M1yUaCX37j5UCE6M,55f8ece9056e50f8 fe8113c31dd663d5 1417f9615d7d4209 8fa7b4c1988a2c6e 051d2861e217e7c4 69b23aa6257b66ea c95b0e54afa46cf1 0fbba4484e5590fb 35b0ae8da97bbbbb 1b63c0257f6bbffb 5508ebe97dec3a2f 2543cfa43fa54f0a 10b283285b9899da 8c5aec51c1d380ad fe507fe8d518b2bb 4e431c9ab03fee8e 7127da7f3cdc1aec c673c02c30e89b12 ef72179daa448367 d3afc8bbda96499f ecc0c384cfc32e9c 4831589e383dd5a9 fc384d140cf0de2b 492152186018d6f0 e865dce4e3da9478 e47b20ed07d263c4 2344293f88a7c905 f1851cf6327922db e466cbf8dff593f5 174ae15d0d98ab0e 67bc5e55eea5bd81 d94a7c9b4521b16a da0012e0276ed2d6 dd7cf0a536ef2d77 f8714856eaff32ef 2ba585d8ff4f4b46 6689a5e5859c260f 801065f01ec7471d 7f5d6c144cdfd4a2 27cc7d4bdb5c83f5 1a0aac9a89c5233b cc25e7b75c1583d9 4711aadf17749757 71a4d32473c9e33f 01201cec269da2ec f38cc553686859ce 2340858f580b8f2b bb474c3f97b9b077 b685c27eb66235f5 85b1f310ac1c5bb9
qICpl1nghlMbD1sQ,6ff991315ab63238 f86a9d1243df3b56 e8b75e53d19a2185 36ca8b412025a827 e69c0e48e6d6663a 6fbc07917bbdaab5 e3d8b8ea9c3a2a72 477469f3115b08d6 3abe26891ca22be7 a5526b66afbaff6a 6a9b6c5dac7f8681 6879876d12974c1c 7cedf862500f864a 1d9cf7f8484882bf 99a31d9e5bd6eda8 82edabfb3f0ee638 e0c00651ceadf30a ae43fb3eb66c4bee c067131949d2ef56 66f2cffe01ccce65 5d9271379d848806 b84cc760284b8294 f5ae6ba3a7c969f8 01a3b5a401f6ef29 638df4ff333c78ba d47993d04b026aee 13042035f041ca90 d8ec688d0aaedf25 61973ab99f664ee9 bdd1d6d77b68d2e7 b1798c0f3792fde6 2242be2646a27e02 4843d31f68d0f953 f2ee877494f3f7ba 90d6328d5c4dea0a b2a1939e27688783 55242e1c1eb6aaa1 25c4aa4d9da2c3ab c2a4ac36e80130a4 ffef637ca4978f59 37f255682546b303 984657a69b60601f a46f4b784e730131 680f5e7028e13737 909469ab1b1150ad 06a4d1eb018b2c0a c8c5df45ef73f379 49133189f2acec19 2dfc1d24369862d5 ce5de297f71be11e
